id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34136463,2705388,607,0.003,"","","","","","",""
34136449,2705388,405,0.131,"","","","","","",""
34136460,2705388,578,0,"","","","","","",""
34136459,2705388,573,0,"","","","","","",""
34136466,2705388,610,0.002,"","","","","","",""
34136465,2705388,609,0.001,"","","","","","",""
34136428,2705388,291,0,"","","","","","",""
34136422,2705388,208,34,"","","","","","",""
34136481,2705388,631,0,"","","","","","",""
34136475,2705388,621,0,"","","","","","",""
34136437,2705388,317,2,"","","","","","",""
34136482,2705388,645,0.017,"","","","","","",""
34136469,2705388,613,0.021,"","","","","","",""
34136454,2705388,421,18.2,"","","","","","",""
34136483,2705388,646,0.006,"","","","","","",""
34136458,2705388,435,2,"","","","","","",""
34136448,2705388,404,0.056,"","","","","","",""
34136456,2705388,431,0,"","","","","","",""
34136479,2705388,629,0,"","","","","","",""
34136438,2705388,319,64,"","","","","","",""
34136421,2705388,205,4.92,"","","","","","",""
34136480,2705388,630,0,"","","","","","",""
34136424,2705388,255,90.8,"","","","","","",""
34136419,2705388,203,3.43,"","","","","","",""
34136471,2705388,617,0.018,"","","","","","",""
34136426,2705388,263,0,"","","","","","",""
34136462,2705388,606,0.049,"","","","","","",""
34136423,2705388,221,0,"","","","","","",""
34136472,2705388,618,0.005,"","","","","","",""
34136464,2705388,608,0.001,"","","","","","",""
34136445,2705388,337,0,"","","","","","",""
34136430,2705388,303,0,"","","","","","",""
34136432,2705388,305,107,"","","","","","",""
34136461,2705388,601,3,"","","","","","",""
34136473,2705388,619,0,"","","","","","",""
34136431,2705388,304,12,"","","","","","",""
34136452,2705388,417,2,"","","","","","",""
34136468,2705388,612,0.008,"","","","","","",""
34136478,2705388,628,0,"","","","","","",""
34136474,2705388,620,0,"","","","","","",""
34136429,2705388,301,132,"","","","","","",""
34136455,2705388,430,0,"","","","","","",""
34136457,2705388,432,2,"","","","","","",""
34136435,2705388,309,0.45,"","","","","","",""
34136444,2705388,334,0,"","","","","","",""
34136425,2705388,262,0,"","","","","","",""
34136420,2705388,204,0.08,"","","","","","",""
34136434,2705388,307,41,"","","","","","",""
34136433,2705388,306,167,"","","","","","",""
34136453,2705388,418,0.58,"","","","","","",""
34136470,2705388,614,0.009,"","","","","","",""
34136476,2705388,626,0.001,"","","","","","",""
34136427,2705388,269,5.05,"","","","","","",""
34136450,2705388,406,0.118,"","","","","","",""
34136447,2705388,401,0,"","","","","","",""
34136451,2705388,415,0.058,"","","","","","",""
34136443,2705388,328,1.1,"","","","","","",""
34136441,2705388,322,0,"","","","","","",""
34136497,2705389,305,103,"","","","","","",""
34136514,2705389,405,0.14,"","","","","","",""
34136537,2705389,618,0.033,"","","","","","",""
34136516,2705389,415,0.06,"","","","","","",""
34136533,2705389,612,0.093,"","","","","","",""
34136534,2705389,613,0.265,"","","","","","",""
34136547,2705389,645,0.21,"","","","","","",""
34136509,2705389,334,0,"","","","","","",""
34136543,2705389,628,0.001,"","","","","","",""
34136521,2705389,431,0,"","","","","","",""
34136512,2705389,401,0,"","","","","","",""
34136498,2705389,306,159,"","","","","","",""
34136546,2705389,631,0,"","","","","","",""
34136508,2705389,328,1.1,"","","","","","",""
34136528,2705389,607,0.022,"","","","","","",""
34136539,2705389,620,0.001,"","","","","","",""
34136530,2705389,609,0.011,"","","","","","",""
34136511,2705389,338,0,"","","","","","",""
34136488,2705389,221,0,"","","","","","",""
34136490,2705389,262,0,"","","","","","",""
34136487,2705389,208,43,"","","","","","",""
34136486,2705389,205,5.18,"","","","","","",""
34136522,2705389,432,2,"","","","","","",""
34136515,2705389,406,0.113,"","","","","","",""
34136495,2705389,303,0,"","","","","","",""
34136538,2705389,619,0.004,"","","","","","",""
34136518,2705389,418,0.61,"","","","","","",""
34136540,2705389,621,0,"","","","","","",""
34136502,2705389,317,2.1,"","","","","","",""
34136491,2705389,263,0,"","","","","","",""
34136496,2705389,304,12,"","","","","","",""
34136505,2705389,321,1,"","","","","","",""
34136525,2705389,578,0,"","","","","","",""
34136529,2705389,608,0.015,"","","","","","",""
34136531,2705389,610,0.023,"","","","","","",""
34136541,2705389,626,0.014,"","","","","","",""
34136544,2705389,629,0,"","","","","","",""
34136489,2705389,255,89.7,"","","","","","",""
34136520,2705389,430,0.1,"","","","","","",""
34136507,2705389,323,0.02,"","","","","","",""
34136506,2705389,322,0,"","","","","","",""
34136500,2705389,309,0.43,"","","","","","",""
34136519,2705389,421,17.4,"","","","","","",""
34136527,2705389,606,0.568,"","","","","","",""
34136504,2705389,320,58,"","","","","","",""
34136535,2705389,614,0.096,"","","","","","",""
34136492,2705389,269,4.96,"","","","","","",""
34136545,2705389,630,0,"","","","","","",""
34136485,2705389,204,0.95,"","","","","","",""
34136513,2705389,404,0.057,"","","","","","",""
34136548,2705389,646,0.032,"","","","","","",""
34136526,2705389,601,5,"","","","","","",""
34136523,2705389,435,2,"","","","","","",""
34136494,2705389,301,126,"","","","","","",""
34136503,2705389,319,58,"","","","","","",""
34136493,2705389,291,0,"","","","","","",""
